,index,population_density,median_age,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Asthma Prevalence (m/f) Age-standardized,PM2.5 air pollution,Daily smoking prevalence ,Prevalence of obesity (both sexes) - WHO (2019),CFR,anomaly
46,61,44.303999999999995,19.3,2.171,1510.4589999999998,311.11,6.05,0.7,66.32,0.44,3.9431478060000003,50.51448122,5.9000001,5.0,0.0,1
47,62,31.033,42.7,13.491,29481.252,255.56900000000002,4.02,4.69,78.74,0.871,2.653642801,5.928305245,26.299999,21.2,0.02461545682932753,1
48,63,104.95700000000001,19.8,2.063,1729.9270000000001,182.63400000000001,7.47,0.3,66.6,0.46299999999999997,3.703454665,49.73530571,3.7,4.5,0.015564116554510232,1
50,67,18.136,42.8,13.264000000000001,40585.721,153.507,5.76,3.28,81.91,0.92,6.186840983,6.234267477,16.5,22.2,0.039791900828392755,1
51,68,122.57799999999999,42.0,13.079,38605.671,86.06,4.77,5.98,82.66,0.9009999999999999,6.545303951,11.8693378,27.299999,21.6,0.08705618744208134,1
52,70,7.859,23.1,2.9760000000000004,16562.413,259.967,7.2,6.3,66.47,0.7020000000000001,5.600219785,47.39460459,10.9,15.0,0.006147667425959875,1
53,71,207.56599999999997,17.5,1.4169999999999998,1561.767,331.43,1.91,1.1,62.05,0.46,3.196731565,95.04387071,12.1,10.3,0.03002976196955875,1
54,72,65.032,38.7,10.244000000000002,9745.079,496.218,7.11,2.6,73.77,0.78,3.278521674,20.73469811,22.700001,21.7,0.00991155967121007,1
55,73,237.016,46.6,15.957,45229.245,156.139,8.31,8.0,81.33,0.9359999999999999,4.664824135,13.45779609,22.299999,22.3,0.036371399875327136,1
56,74,126.719,21.1,1.9480000000000002,4227.63,298.245,4.97,0.9,64.07,0.5920000000000001,2.710226006,54.24258644,3.9000001,10.9,0.006245722694849679,1
57,76,83.479,45.3,14.524000000000001,24574.382,175.695,4.55,4.21,82.24,0.87,5.281236451,11.29831318,35.5,24.9,0.023851994585902758,1
58,78,317.132,29.4,5.021,13593.877,243.96400000000003,10.71,3.7,72.4,0.772,7.710083958999999,18.498453,9.3999996,21.3,0.0,1
59,80,157.834,22.9,3.016,7423.808000000001,155.898,10.18,0.6,74.3,0.65,3.524642739,28.522086199999997,6.3000002,21.2,0.0363359933251087,1
60,82,51.755,19.0,1.733,1998.9260000000002,336.717,2.42,0.3,61.6,0.45899999999999996,3.946494419,46.14092124,6.3000002,7.7,0.006334002780781708,1
61,84,3.952,26.3,2.8369999999999997,7435.047,373.159,11.62,1.6,69.91,0.654,7.2976731589999995,19.74407395,15.3,20.2,0.02800014922146398,1
62,85,398.44800000000004,24.3,2.9539999999999997,1653.1729999999998,430.548,6.65,0.7,64.0,0.498,7.162063822,23.54804717,7.099999900000001,22.7,0.025506546071410213,1
63,86,82.805,24.9,2.883,4541.795,240.208,7.21,0.7,75.27,0.617,5.090625957,29.49751121,11.3,21.4,0.031138811729951376,1
64,87,108.04299999999999,43.4,11.975999999999999,26777.561,278.296,7.55,7.02,76.88,0.838,3.2758928380000003,24.57068163,26.6,26.4,0.06181920902883696,1
65,88,3.404,37.3,9.207,46482.958,117.992,5.31,2.91,82.99,0.935,8.833956963,7.29839004,14.4,21.9,0.004636064066405954,1
66,89,450.41900000000004,28.2,3.4139999999999997,6426.674,282.28,10.39,0.53,69.66,0.64,2.479792338,75.80079116,12.6,3.9,0.01671734591376452,1
67,90,145.725,29.3,3.053,11188.743999999999,342.86400000000003,6.32,1.04,71.72,0.6940000000000001,5.263309602,16.74598218,30.200001,6.9,0.04081015719467957,1
68,91,49.831,32.4,3.182,19082.62,270.308,9.59,1.5,76.68,0.7979999999999999,4.407905125,48.95476643,12.1,25.8,0.057645343558627486,1
69,92,88.125,20.0,1.9569999999999999,15663.986,218.612,8.83,1.4,70.6,0.685,5.670459607000001,73.25872705,16.5,30.4,0.02806566245966091,1
70,93,69.874,38.7,8.677999999999999,67335.293,126.459,3.28,2.96,82.3,0.938,7.920361517000001,9.168633218,24.299999,25.3,0.05866267696209087,1
71,95,402.606,30.6,7.359,33132.32,93.32,6.74,2.99,82.97,0.903,5.539477825,18.6846113,19.4,26.1,0.007349431136582151,1
73,97,266.879,31.4,6.39,8193.571,206.537,11.28,1.7,74.47,0.732,7.623688862000001,15.07163593,14.7,24.7,0.011392580147830282,1
75,100,109.285,23.2,2.3609999999999998,8337.49,208.257,11.75,1.4,74.53,0.735,6.77442306,37.21426017,25.799999,35.5,0.007301254996330746,1
76,101,6.681,30.6,4.625,24055.588,466.792,7.11,6.7,73.6,0.8,3.1227768019999997,19.65590442,24.4,21.0,0.014396504258060513,1
77,102,87.324,20.0,1.528,2993.028,218.637,2.92,1.4,66.7,0.59,3.3665759060000005,16.29493079,9.5,7.1,0.01719026338165798,1
79,105,32.333,26.3,2.8819999999999997,3393.474,436.36199999999997,7.11,4.5,71.45,0.672,4.048863843,17.91030372,18.1,16.6,0.02378926355663303,1
80,106,29.715,24.4,2.322,6397.36,368.111,4.0,1.5,67.92,0.601,5.093036651,27.67258925,27.299999,5.3,0.0,1
81,107,31.212,43.9,14.136,25063.846,350.06,4.91,5.57,75.29,0.847,3.934398724,14.58800713,29.1,23.6,0.024171529804085035,1
82,108,594.561,31.1,5.43,13367.565,266.591,12.71,2.9,78.93,0.757,7.440432432000001,32.5648296,27.0,32.0,0.009760712569130522,1
83,110,49.126999999999995,19.2,1.756,752.788,272.509,2.42,0.8,64.1,0.435,3.196971613,17.33233534,6.3000002,9.9,0.06235745247133666,1
84,111,3.623,29.0,2.8160000000000003,17881.509,341.86199999999997,10.43,3.7,72.91,0.706,5.4509036029999995,63.71676049,15.4,32.5,0.01618996895303708,1
85,113,45.135,43.5,13.777999999999999,29524.265,342.98900000000003,3.67,6.56,75.93,0.858,3.3503000960000002,16.71785779,25.799999,26.3,0.026883372067196938,1
86,114,231.447,39.7,9.842,94277.965,128.275,4.42,4.51,82.25,0.904,7.237745972000001,16.09727607,25.299999,22.6,0.017494386263571568,1
87,115,82.6,39.1,8.16,13111.214,322.688,10.08,4.28,75.8,0.757,4.286379173,31.92141254,36.900002,22.4,0.041456848302480656,1
88,116,43.951,19.6,1.686,1416.44,405.994,3.94,0.2,67.04,0.519,4.799886719,21.47496474,13.6,5.3,0.013312041628709064,1
